ORI,AGENCY,Govt_level,placename,CNTY,POP100,White_count,Black_count,Other_count,Hispan_allcount,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispan_Males_All,Age1524_HispanM,Age1524_HispanF,Hispan_Females_All,Other_Males_All,Age1524_OtherM,Age1524_OtherF,Other_Females_All,Pct_WYM,Pct_WYF,POP,STATEFP,place_fips
SC02503,HAMPTON,2,Hampton town,,2997,1905,1076,5,11,114,869,126,1041,88,488,105,593,5,1,1,6,0,0,1,1,0.131185270425777,0.121037463976945,2997.0,45,31885
SC00703,PORT ROYAL,2,Port Royal town,,2985,1837,1004,53,91,181,913,198,970,74,452,97,560,35,9,10,56,16,4,3,14,0.19824753559693306,0.20412371134020604,2985.0,45,58030
SC04101,SALUDA,2,Saluda town,,2798,1510,1279,3,6,105,735,82,781,117,591,111,688,3,0,2,3,0,0,0,0,0.14285714285714302,0.104993597951344,2798.0,45,63250
SC00603,BLACKVILLE,2,Blackville town,,2688,722,1959,1,6,40,354,34,370,173,914,169,1048,1,0,1,5,0,0,0,1,0.112994350282486,0.0918918918918919,2688.0,45,6490
SC01902,JOHNSTON,2,Johnston town,,2688,1054,1627,6,1,60,496,52,558,142,784,136,844,1,0,0,0,0,0,0,0,0.120967741935484,0.0931899641577061,2688.0,45,37150
SC03502,MCCOLL,2,McColl town,,2685,2002,379,301,3,159,937,136,1066,29,166,27,213,3,1,0,0,2,1,0,0,0.169690501600854,0.127579737335835,2685.0,45,43630
SC01305,PAGELAND,2,Pageland town,,2666,1843,807,11,5,133,858,119,987,69,336,98,472,2,0,2,3,1,0,1,1,0.155011655011655,0.120567375886525,2666.0,45,54025
SC01901,EDGEFIELD,2,Edgefield town,,2563,1276,1280,2,5,74,557,60,720,95,573,104,711,1,0,1,4,0,0,0,0,0.132854578096948,0.0833333333333333,2563.0,45,22795
SC00206,NEW ELLENTON,2,New Ellenton town,,2515,1644,840,6,25,92,825,112,835,72,362,80,478,14,1,2,11,5,1,1,5,0.11151515151515197,0.134131736526946,2515.0,45,49705
SC04213,WELLFORD,2,Wellford city,,2511,1408,1075,5,23,84,693,65,726,82,476,82,599,19,9,0,4,12,7,0,0,0.121212121212121,0.0895316804407714,2617.0,45,75580
SC02402,WARE SHOALS,2,Ware Shoals town,,2497,2153,334,4,6,133,1007,112,1147,30,160,26,178,1,1,1,5,0,0,0,1,0.132075471698113,0.0976460331299041,2497.0,45,74680
SC03901,CENTRAL CITY,2,Central town,,2438,1899,493,26,20,210,942,209,971,64,251,57,244,6,2,7,14,1,1,1,3,0.222929936305732,0.21524201853759,2438.0,45,13015
SC03210,SOUTH CONGAREE,2,South Congaree town,,2406,2274,98,14,20,202,1128,184,1157,14,50,8,48,10,3,1,10,7,3,0,2,0.179078014184397,0.159031979256698,2406.0,45,67705
SC02502,ESTILL,2,Estill town,,2387,580,1805,1,1,34,258,38,323,142,780,164,1025,0,0,0,1,0,0,0,0,0.131782945736434,0.11764705882352902,2387.0,45,23830
SC04210,LANDRUM,2,Landrum city,,2347,2051,260,21,15,127,967,137,1086,23,121,24,139,8,2,1,7,7,2,1,7,0.131334022750776,0.126151012891344,2347.0,45,40075
