place_fips,STATEFP,Govt_level_x,placename,Govt_level_y,_merge
99083,6,1,Santa Barbara County,8,both
99083,6,1,Santa Barbara County,0,both
99085,6,1,Santa Clara County,1,both
99085,6,1,Santa Clara County,8,both
99085,6,1,Santa Clara County,4,both
99085,6,1,Santa Clara County,0,both
99087,6,1,Santa Cruz County,1,both
99087,6,1,Santa Cruz County,8,both
99089,6,1,Shasta County,1,both
99089,6,1,Shasta County,8,both
99089,6,1,Shasta County,0,both
99091,6,1,Sierra County,1,both
99091,6,1,Sierra County,8,both
99091,6,1,Sierra County,0,both
99093,6,1,Siskiyou County,1,both
99093,6,1,Siskiyou County,8,both
99093,6,1,Siskiyou County,0,both
99095,6,1,Solano County,1,both
99095,6,1,Solano County,8,both
99095,6,1,Solano County,0,both
99097,6,1,Sonoma County,1,both
99097,6,1,Sonoma County,8,both
99097,6,1,Sonoma County,0,both
99099,6,1,Stanislaus County,1,both
99099,6,1,Stanislaus County,8,both
99099,6,1,Stanislaus County,0,both
99101,6,1,Sutter County,1,both
99101,6,1,Sutter County,8,both
99101,6,1,Sutter County,0,both
99103,6,1,Tehama County,1,both
99103,6,1,Tehama County,8,both
99103,6,1,Tehama County,0,both
99105,6,1,Trinity County,1,both
99105,6,1,Trinity County,8,both
99105,6,1,Trinity County,0,both
99107,6,1,Tulare County,1,both
99107,6,1,Tulare County,8,both
99107,6,1,Tulare County,0,both
99109,6,1,Tuolumne County,1,both
99109,6,1,Tuolumne County,0,both
99111,6,1,Ventura County,1,both
99111,6,1,Ventura County,8,both
99111,6,1,Ventura County,0,both
99113,6,1,Yolo County,1,both
99113,6,1,Yolo County,8,both
99113,6,1,Yolo County,0,both
99115,6,1,Yuba County,1,both
99115,6,1,Yuba County,8,both
99115,6,1,Yuba County,0,both
99001,8,1,Adams County,1,both
99003,8,1,Alamosa County,1,both
99005,8,1,Arapahoe County,1,both
99007,8,1,Archuleta County,1,both
99009,8,1,Baca County,1,both
99011,8,1,Bent County,1,both
99013,8,1,Boulder County,1,both
99015,8,1,Chaffee County,1,both
99017,8,1,Cheyenne County,1,both
99019,8,1,Clear Creek County,1,both
99021,8,1,Conejos County,1,both
99023,8,1,Costilla County,1,both
99025,8,1,Crowley County,1,both
99027,8,1,Custer County,1,both
99029,8,1,Delta County,1,both
99031,8,1,Denver County,,left_only
99033,8,1,Dolores County,1,both
99035,8,1,Douglas County,1,both
99037,8,1,Eagle County,1,both
99039,8,1,Elbert County,1,both
99041,8,1,El Paso County,1,both
99043,8,1,Fremont County,1,both
99045,8,1,Garfield County,1,both
99047,8,1,Gilpin County,1,both
99049,8,1,Grand County,1,both
99051,8,1,Gunnison County,1,both
99053,8,1,Hinsdale County,1,both
99055,8,1,Huerfano County,1,both
99057,8,1,Jackson County,1,both
99059,8,1,Jefferson County,1,both
99061,8,1,Kiowa County,1,both
99063,8,1,Kit Carson County,1,both
99065,8,1,Lake County,1,both
99067,8,1,La Plata County,1,both
99069,8,1,Larimer County,1,both
99071,8,1,Las Animas County,1,both
99073,8,1,Lincoln County,1,both
99075,8,1,Logan County,1,both
99077,8,1,Mesa County,1,both
99079,8,1,Mineral County,1,both
99081,8,1,Moffat County,1,both
99083,8,1,Montezuma County,1,both
99085,8,1,Montrose County,1,both
99087,8,1,Morgan County,1,both
99089,8,1,Otero County,1,both
99091,8,1,Ouray County,1,both
99093,8,1,Park County,1,both
99095,8,1,Phillips County,1,both
99097,8,1,Pitkin County,1,both
99099,8,1,Prowers County,1,both
99101,8,1,Pueblo County,1,both
99103,8,1,Rio Blanco County,1,both
99105,8,1,Rio Grande County,1,both
99107,8,1,Routt County,1,both
99109,8,1,Saguache County,1,both
99111,8,1,San Juan County,1,both
99113,8,1,San Miguel County,1,both
99115,8,1,Sedgwick County,1,both
99117,8,1,Summit County,1,both
99119,8,1,Teller County,1,both
99121,8,1,Washington County,1,both
99123,8,1,Weld County,1,both
99125,8,1,Yuma County,1,both
99001,9,1,Fairfield County,,left_only
99003,9,1,Hartford County,,left_only
99005,9,1,Litchfield County,,left_only
99007,9,1,Middlesex County,,left_only
99009,9,1,New Haven County,,left_only
99011,9,1,New London County,,left_only
99013,9,1,Tolland County,,left_only
99015,9,1,Windham County,,left_only
99001,10,1,Kent County,0,both
99001,10,1,Kent County,1,both
99003,10,1,New Castle County,1,both
99003,10,1,New Castle County,0,both
99003,10,1,New Castle County,8,both
99005,10,1,Sussex County,1,both
99005,10,1,Sussex County,0,both
99001,11,1,District of Columbia,,left_only
99001,12,1,Alachua County,1,both
99001,12,1,Alachua County,0,both
99003,12,1,Baker County,1,both
99003,12,1,Baker County,0,both
99005,12,1,Bay County,1,both
99005,12,1,Bay County,0,both
99007,12,1,Bradford County,1,both
99007,12,1,Bradford County,0,both
99009,12,1,Brevard County,1,both
99009,12,1,Brevard County,0,both
99011,12,1,Broward County,1,both
99011,12,1,Broward County,0,both
99013,12,1,Calhoun County,1,both
99013,12,1,Calhoun County,0,both
99015,12,1,Charlotte County,1,both
99015,12,1,Charlotte County,0,both
99017,12,1,Citrus County,1,both
99017,12,1,Citrus County,0,both
99019,12,1,Clay County,1,both
99019,12,1,Clay County,0,both
99021,12,1,Collier County,1,both
99021,12,1,Collier County,0,both
99023,12,1,Columbia County,1,both
99023,12,1,Columbia County,0,both
99027,12,1,DeSoto County,1,both
99027,12,1,DeSoto County,0,both
99029,12,1,Dixie County,1,both
99029,12,1,Dixie County,0,both
99031,12,1,Duval County,,left_only
99033,12,1,Escambia County,1,both
99033,12,1,Escambia County,0,both
99035,12,1,Flagler County,1,both
99035,12,1,Flagler County,0,both
99037,12,1,Franklin County,1,both
99037,12,1,Franklin County,0,both
99039,12,1,Gadsden County,1,both
99039,12,1,Gadsden County,0,both
99041,12,1,Gilchrist County,1,both
99041,12,1,Gilchrist County,0,both
99043,12,1,Glades County,1,both
99043,12,1,Glades County,0,both
99045,12,1,Gulf County,1,both
99045,12,1,Gulf County,0,both
99047,12,1,Hamilton County,1,both
99047,12,1,Hamilton County,0,both
99049,12,1,Hardee County,1,both
99049,12,1,Hardee County,0,both
99051,12,1,Hendry County,1,both
99051,12,1,Hendry County,0,both
99053,12,1,Hernando County,1,both
99053,12,1,Hernando County,0,both
99055,12,1,Highlands County,1,both
99055,12,1,Highlands County,0,both
99057,12,1,Hillsborough County,1,both
99057,12,1,Hillsborough County,0,both
99059,12,1,Holmes County,1,both
99059,12,1,Holmes County,0,both
99061,12,1,Indian River County,1,both
99061,12,1,Indian River County,0,both
99063,12,1,Jackson County,1,both
99063,12,1,Jackson County,0,both
99065,12,1,Jefferson County,1,both
99065,12,1,Jefferson County,0,both
99067,12,1,Lafayette County,1,both
99067,12,1,Lafayette County,0,both
99069,12,1,Lake County,1,both
99069,12,1,Lake County,0,both
99071,12,1,Lee County,1,both
99071,12,1,Lee County,0,both
99073,12,1,Leon County,1,both
99073,12,1,Leon County,0,both
99075,12,1,Levy County,1,both
99075,12,1,Levy County,0,both
99077,12,1,Liberty County,1,both
99077,12,1,Liberty County,0,both
99079,12,1,Madison County,1,both
99079,12,1,Madison County,0,both
99081,12,1,Manatee County,1,both
99081,12,1,Manatee County,0,both
99083,12,1,Marion County,1,both
99083,12,1,Marion County,0,both
99085,12,1,Martin County,1,both
99085,12,1,Martin County,0,both
99086,12,1,Miami-Dade County,,left_only
99087,12,1,Monroe County,1,both
99087,12,1,Monroe County,0,both
99089,12,1,Nassau County,1,both
99089,12,1,Nassau County,0,both
99091,12,1,Okaloosa County,1,both
99091,12,1,Okaloosa County,0,both
99093,12,1,Okeechobee County,1,both
99093,12,1,Okeechobee County,0,both
99095,12,1,Orange County,1,both
99095,12,1,Orange County,99,both
99095,12,1,Orange County,0,both
99097,12,1,Osceola County,1,both
99097,12,1,Osceola County,0,both
99099,12,1,Palm Beach County,1,both
99099,12,1,Palm Beach County,0,both
99099,12,1,Palm Beach County,5,both
99101,12,1,Pasco County,1,both
99101,12,1,Pasco County,0,both
99103,12,1,Pinellas County,1,both
99103,12,1,Pinellas County,5,both
99103,12,1,Pinellas County,0,both
99105,12,1,Polk County,1,both
99105,12,1,Polk County,0,both
99107,12,1,Putnam County,1,both
99107,12,1,Putnam County,0,both
99109,12,1,St. Johns County,1,both
99109,12,1,St. Johns County,0,both
99111,12,1,St. Lucie County,1,both
99111,12,1,St. Lucie County,0,both
99113,12,1,Santa Rosa County,1,both
99113,12,1,Santa Rosa County,0,both
99115,12,1,Sarasota County,1,both
99115,12,1,Sarasota County,0,both
99117,12,1,Seminole County,1,both
99117,12,1,Seminole County,0,both
99119,12,1,Sumter County,1,both
99119,12,1,Sumter County,0,both
99121,12,1,Suwannee County,1,both
99121,12,1,Suwannee County,0,both
99123,12,1,Taylor County,1,both
99123,12,1,Taylor County,0,both
99125,12,1,Union County,1,both
99125,12,1,Union County,0,both
99127,12,1,Volusia County,1,both
99127,12,1,Volusia County,0,both
99129,12,1,Wakulla County,1,both
99129,12,1,Wakulla County,0,both
99131,12,1,Walton County,1,both
