ORI,AGENCY,Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
WI06300,VERNON,1,99123,Vernon County,123.0,55,1990,25617,25429,12,98,1508,12543,1327,12966,0,7,0,5,45,8,7,53,0.120226421111377,0.102344593552368
WI06400,VILAS,1,99125,Vilas County,125.0,55,1990,17707,16073,9,61,723,7998,625,8118,1,6,1,3,26,4,5,35,0.09039759939985,0.0769894062576989
WI06500,WALWORTH,1,99127,Walworth County,127.0,55,1990,75000,71834,443,2017,6314,35637,6165,37110,87,211,109,243,1155,265,168,862,0.17717540758200698,0.16612772837510098
WI06600,WASHBURN,1,99129,Washburn County,129.0,55,1990,13772,13554,25,34,748,6751,651,6834,2,19,0,6,20,3,2,14,0.110798400237002,0.0952589991220369
WI06700,WASHINGTON,1,99131,Washington County,131.0,55,1990,95328,94002,121,670,6656,47094,6204,47371,15,65,7,60,353,67,54,317,0.141334352571453,0.130966202951173
WI06800,WAUKESHA,1,99133,Waukesha County,133.0,55,1990,304715,294855,1058,5448,19877,147696,18684,150617,318,700,82,396,2813,554,503,2635,0.134580489654425,0.124049742060989
WI06900,WAUPACA,1,99135,Waupaca County,135.0,55,1990,46104,45465,22,406,2786,22509,2755,23186,1,13,2,9,213,49,27,193,0.123772713136967,0.11882170275166
WI07000,WAUSHARA,1,99137,Waushara County,137.0,55,1990,19385,18867,29,379,1015,9466,972,9628,2,14,1,15,184,29,30,195,0.107225860976125,0.100955546323224
WI07100,WINNEBAGO,1,99139,Winnebago County,139.0,55,1990,140320,136094,689,1144,10897,66762,11195,70060,125,537,58,160,591,122,124,553,0.163221593121836,0.159791607193834
WI07200,WOOD,1,99141,Wood County,141.0,55,1990,73605,71961,89,386,4708,35215,4575,36942,8,48,5,42,187,23,24,199,0.133693028538975,0.123842780574955
WIMPD00,MILWAUKEE,2,53000,Milwaukee city,,55,1990,628088,381714,189408,39409,29008,189439,29608,208594,16008,87814,18368,103441,20063,3768,3684,19346,0.153125808307687,0.141940803666453
WI01301,MADISON,2,48000,Madison city,,55,1990,191262,171166,7948,3877,21088,83986,21470,89518,849,4164,873,3945,2107,581,428,1770,0.251089467292168,0.23984003217230104
WI00502,GREEN BAY,2,31000,Green Bay city,,55,1990,96466,90417,437,1063,6278,43244,7075,47644,59,262,34,191,546,104,101,517,0.145176209416335,0.148497187473764
WI05202,RACINE,2,66000,Racine city,,55,1990,84298,61408,15270,6853,3868,30556,4039,33822,1261,7151,1391,8400,3541,647,590,3312,0.126587249640005,0.11941931287327802
WI03001,KENOSHA,2,39225,Kenosha city,,55,1990,80352,69798,5037,4732,5179,34657,5240,37482,447,2434,466,2703,2442,490,448,2290,0.14943590039530302,0.139800437543354
WI04501,APPLETON,2,2375,Appleton city,,55,1990,65695,63122,159,577,4268,30542,4402,32916,25,98,22,65,290,80,63,287,0.139741994630345,0.133734354113501
WI04116,WEST ALLIS,2,85300,West Allis city,,55,1990,63221,61430,187,919,3575,29331,3751,32770,18,104,8,87,471,85,84,448,0.121884695373496,0.114464449191334
