Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,P012HVD01,P012HVD02,P012HVD03,P012HVD04,P012HVD05,P012HVD06,P012HVD07,P012HVD08,P012HVD09,P012HVD10,P012HVD11,P012HVD12,P012HVD13,P012HVD14,P012HVD15,P012HVD16,P012HVD17,P012HVD18,P012HVD19,P012HVD20,P012HVD21,P012HVD22,P012HVD23,P012HVD24,P012HVD25,P012HVD26,P012HVD27,P012HVD28,P012HVD29,P012HVD30,P012HVD31,P012HVD32,P012HVD33,P012HVD34,P012HVD35,P012HVD36,P012HVD37,P012HVD38,P012HVD39,P012HVD40,P012HVD41,P012HVD42,P012HVD43,P012HVD44,P012HVD45,P012HVD46,P012HVD47,P012HVD48,P012HVD49
1,99043,Cullman County,043,01,2000,1688,1042,122,82,56,49,63,38,48,110,154,108,78,47,32,16,7,4,5,3,6,4,5,1,4,646,110,76,53,28,21,18,12,51,75,61,32,29,22,15,13,3,2,4,5,3,7,5,1
1,99045,Dale County,045,01,2000,1642,841,130,91,72,38,41,19,15,36,107,66,79,50,47,19,6,1,3,1,8,5,5,1,1,801,117,72,73,46,27,16,17,47,103,73,61,45,25,19,23,6,3,6,5,8,4,2,3
1,99047,Dallas County,047,01,2000,290,144,13,18,10,11,7,7,5,8,10,14,10,2,7,1,7,1,4,4,1,0,2,0,2,146,16,10,11,9,7,1,4,5,13,10,10,15,7,6,9,2,1,0,1,5,3,0,1
1,99049,DeKalb County,049,01,2000,3578,2086,261,175,132,85,138,70,63,227,326,240,140,72,54,46,23,4,3,8,9,4,4,2,0,1492,251,180,126,82,64,47,36,120,186,127,91,57,44,32,15,12,5,4,4,3,1,3,2
1,99051,Elmore County,051,01,2000,805,428,31,49,41,24,21,12,9,26,39,35,36,30,24,18,13,1,4,1,2,4,4,3,1,377,37,33,40,24,12,8,8,15,31,34,41,23,16,16,13,5,3,0,4,3,6,2,3
1,99053,Escambia County,053,01,2000,379,198,11,13,13,6,9,3,5,20,28,14,17,16,11,10,5,2,2,2,4,2,4,0,1,181,25,23,17,10,7,0,6,8,13,10,10,12,10,6,3,2,2,3,4,4,1,4,1
1,99055,Etowah County,055,01,2000,1763,1030,120,105,71,53,54,36,27,102,106,98,85,55,38,31,8,2,5,6,8,9,9,2,0,733,101,80,79,45,34,14,9,55,62,57,55,42,18,26,16,3,7,4,5,8,8,4,1
1,99057,Fayette County,057,01,2000,152,77,10,8,2,2,2,1,0,2,15,8,4,5,5,6,3,0,1,2,0,0,0,0,1,75,8,8,7,3,1,2,3,6,6,4,4,4,2,3,1,0,3,1,3,3,0,1,2
1,99059,Franklin County,059,01,2000,2316,1454,158,135,86,65,70,42,55,167,227,140,104,68,42,43,14,6,7,1,9,7,4,0,4,862,155,133,57,40,37,14,13,69,104,83,45,30,24,18,20,3,5,2,1,2,3,2,2
1,99061,Geneva County,061,01,2000,453,277,35,20,26,16,4,8,7,16,38,26,19,20,3,5,10,5,6,1,3,7,0,1,1,176,28,24,9,10,4,3,3,8,21,13,11,11,6,7,6,2,2,2,1,1,2,1,1
1,99063,Greene County,063,01,2000,58,27,0,6,5,3,1,0,0,1,0,1,1,3,2,2,1,0,0,0,0,0,0,0,1,31,1,3,5,3,1,0,0,0,2,3,1,2,2,2,1,1,1,1,0,0,1,0,1
1,99065,Hale County,065,01,2000,157,77,6,7,6,2,4,0,1,1,9,8,7,5,6,2,4,0,1,1,0,3,3,1,0,80,5,8,5,4,2,2,1,6,3,7,9,4,3,2,3,1,2,3,1,2,1,2,4
1,99067,Henry County,067,01,2000,249,131,10,13,8,7,7,2,1,14,18,15,7,7,2,7,4,0,5,1,0,1,0,1,1,118,20,14,3,2,8,4,4,5,12,9,8,7,4,3,4,3,3,0,0,0,1,1,3
1,99069,Houston County,069,01,2000,1122,592,71,51,48,33,17,13,17,39,64,53,53,31,27,17,17,3,5,6,4,10,8,3,2,530,63,53,45,39,18,4,5,27,43,41,41,34,20,17,17,15,6,7,6,12,7,8,2
1,99071,Jackson County,071,01,2000,610,328,40,27,17,22,9,8,12,28,44,23,25,20,15,10,8,2,6,1,2,4,4,1,0,282,45,34,26,12,13,5,1,13,30,13,10,17,18,11,8,2,8,2,3,7,3,1,0
1,99073,Jefferson County,073,01,2000,10284,6122,552,390,345,257,315,223,225,651,966,702,467,316,215,164,99,32,35,22,33,46,34,24,9,4162,530,341,297,176,135,87,115,305,539,376,326,218,159,135,110,28,47,22,45,63,43,24,41
1,99075,Lamar County,075,01,2000,207,121,11,11,5,6,6,4,1,11,14,10,8,4,5,6,6,0,6,0,0,1,4,0,2,86,14,7,6,2,3,3,0,3,3,3,2,3,9,5,5,2,3,0,0,5,6,1,1
1,99077,Lauderdale County,077,01,2000,894,492,63,41,38,18,20,9,15,41,60,37,32,24,26,14,13,6,10,6,7,6,3,2,1,402,49,43,32,19,11,12,10,23,39,32,33,22,18,15,11,4,6,2,3,9,6,1,2
1,99079,Lawrence County,079,01,2000,367,187,21,18,13,7,16,4,3,15,20,23,6,8,13,5,6,4,1,2,1,0,0,1,0,180,25,18,13,5,6,0,3,5,23,13,10,18,11,7,8,5,0,0,2,2,1,4,1
1,99081,Lee County,081,01,2000,1645,891,71,75,68,36,48,29,40,104,100,77,63,69,39,22,20,4,6,5,5,4,2,2,2,754,78,67,56,37,47,21,18,52,84,62,43,62,37,27,11,3,13,2,4,13,10,4,3
1,99083,Limestone County,083,01,2000,1740,1049,151,90,78,68,41,31,45,91,150,102,58,40,40,21,14,2,6,6,3,5,5,0,2,691,113,102,64,33,36,20,13,52,76,57,29,24,23,11,10,2,4,4,3,3,2,6,4
1,99085,Lowndes County,085,01,2000,85,51,3,7,6,4,1,3,3,1,4,8,3,2,2,1,1,0,0,0,0,0,1,0,1,34,4,3,3,3,0,0,0,1,2,6,0,2,2,1,1,0,2,0,1,0,3,0,0
1,99087,Macon County,087,01,2000,173,78,7,8,8,4,5,4,1,8,10,6,3,4,2,1,3,0,0,1,1,1,0,1,0,95,7,9,4,3,8,6,1,4,12,6,9,6,3,6,2,0,1,0,2,3,1,2,0
1,99089,Madison County,089,01,2000,5226,2786,272,261,254,149,142,57,51,199,273,236,241,200,148,97,71,20,21,19,14,28,19,11,3,2440,242,236,237,135,78,36,37,122,194,205,228,211,143,102,79,13,31,15,29,29,19,12,7
1,99091,Marengo County,091,01,2000,219,111,10,6,12,8,6,2,2,3,14,6,9,5,5,10,1,1,1,2,2,3,2,1,0,108,7,11,14,6,3,2,0,4,9,6,10,7,3,8,4,2,0,2,1,4,0,4,1
1,99093,Marion County,093,01,2000,360,196,29,15,14,7,11,7,8,19,22,15,11,11,5,5,8,1,0,0,2,3,2,1,0,164,26,15,12,10,9,2,3,10,14,8,12,12,8,6,4,1,2,0,2,4,3,1,0
1,99095,Marshall County,095,01,2000,4656,2744,383,261,146,150,161,88,79,277,438,288,179,107,63,35,31,7,9,5,11,8,11,4,3,1912,367,223,135,96,87,60,58,167,256,157,99,52,51,33,25,8,10,4,3,10,7,4,0
1,99097,Mobile County,097,01,2000,4887,2534,226,228,208,125,96,45,47,153,258,234,200,211,111,126,77,19,33,16,24,42,30,15,10,2353,219,212,185,122,79,43,46,109,193,209,183,150,131,111,82,20,47,21,45,45,45,23,33
1,99099,Monroe County,099,01,2000,190,91,8,9,9,6,3,1,2,4,10,7,4,4,4,7,2,1,1,0,5,2,0,1,1,99,11,7,6,6,2,2,1,4,10,4,8,4,3,7,11,4,1,0,0,0,3,2,3
1,99101,Montgomery County,101,01,2000,2665,1471,111,119,111,69,48,45,38,98,176,153,143,98,85,65,38,14,13,8,13,14,5,2,5,1194,126,110,96,51,49,24,17,73,122,106,113,80,54,47,33,14,15,13,12,13,9,7,10
1,99103,Morgan County,103,01,2000,3645,2125,247,191,150,81,113,66,66,210,306,215,158,100,86,53,27,7,15,13,6,7,3,2,3,1520,219,186,135,77,65,31,27,116,183,137,99,73,56,39,20,10,13,6,10,8,2,6,2
1,99105,Perry County,105,01,2000,102,50,6,1,1,4,9,3,0,1,1,2,3,2,6,2,2,0,0,2,1,2,2,0,0,52,7,4,7,0,0,0,0,6,4,2,3,4,3,1,1,3,2,1,3,1,0,0,0
1,99107,Pickens County,107,01,2000,147,72,5,4,12,5,1,1,0,7,6,3,8,7,3,3,1,1,1,1,1,1,1,0,0,75,9,4,6,7,1,1,0,2,6,6,8,5,8,5,1,1,1,0,2,1,1,0,0
1,99109,Pike County,109,01,2000,365,184,23,19,11,4,14,6,7,21,24,13,9,8,4,3,6,1,4,1,2,3,1,0,0,181,28,11,10,8,8,13,3,16,12,15,7,11,5,10,9,3,2,1,2,3,1,2,1
1,99111,Randolph County,111,01,2000,272,144,18,19,7,6,4,3,3,13,14,13,9,13,3,5,1,1,4,1,0,2,2,1,2,128,21,18,9,5,3,1,1,10,12,12,2,9,3,5,4,2,2,1,0,3,2,1,2
1,99113,Russell County,113,01,2000,744,395,34,44,40,28,15,6,8,24,37,40,30,27,20,16,6,3,3,2,4,5,1,1,1,349,36,28,23,21,15,8,8,17,40,33,29,31,19,7,9,1,4,2,5,5,3,1,4
1,99115,St. Clair County,115,01,2000,686,389,40,24,28,16,11,14,10,30,56,37,37,34,11,11,11,4,2,3,0,3,1,3,3,297,40,34,25,13,3,5,7,18,24,18,19,22,11,11,16,5,3,1,2,6,7,3,4
1,99117,Shelby County,117,01,2000,2910,1731,164,157,91,73,81,53,43,158,258,211,153,108,65,45,30,7,9,6,3,7,6,2,1,1179,144,117,92,50,39,16,32,88,145,125,93,74,61,35,23,5,8,4,5,7,7,7,2
1,99119,Sumter County,119,01,2000,165,82,12,11,10,3,6,1,3,6,9,5,2,0,6,1,3,0,2,0,1,0,1,0,0,83,15,7,11,3,0,3,3,7,8,8,1,1,1,4,2,2,0,1,1,3,0,1,1
1,99121,Talladega County,121,01,2000,812,546,33,28,15,19,33,14,9,39,57,65,66,59,47,21,11,4,4,3,3,4,8,2,2,266,28,15,29,12,11,3,2,16,21,22,25,15,11,10,10,7,5,3,4,7,6,2,2
1,99123,Tallapoosa County,123,01,2000,242,136,20,9,11,9,8,4,4,7,15,11,8,2,8,5,6,1,1,0,2,2,1,0,2,106,10,8,9,8,4,4,1,8,9,5,11,6,4,2,6,2,3,0,2,1,1,1,1
1,99125,Tuscaloosa County,125,01,2000,2130,1209,96,118,65,47,68,35,61,121,159,115,103,59,58,28,25,8,8,2,7,10,10,4,2,921,113,80,75,37,44,25,28,67,82,77,55,59,43,35,21,4,14,4,7,19,16,12,4
1,99127,Walker County,127,01,2000,607,329,25,33,18,23,20,11,12,33,47,31,25,10,8,6,7,2,4,3,4,2,3,2,0,278,38,24,26,10,9,2,4,12,27,22,27,15,12,12,7,7,7,2,1,8,2,2,2
1,99129,Washington County,129,01,2000,160,83,7,9,7,8,2,2,0,1,5,8,7,5,2,4,7,1,1,4,1,0,2,0,0,77,8,7,7,1,0,0,0,4,8,5,5,5,3,4,5,1,2,2,4,1,2,0,3
1,99131,Wilcox County,131,01,2000,97,35,6,7,2,2,1,0,0,1,4,3,1,0,2,0,0,0,2,1,0,1,2,0,0,62,7,5,8,3,1,3,0,3,2,5,6,1,2,3,2,2,2,2,0,2,2,0,1
1,99133,Winston County,133,01,2000,372,236,25,15,15,8,16,8,9,25,40,26,16,6,8,7,4,1,1,3,2,0,0,1,0,136,25,10,16,4,3,4,6,6,18,9,9,11,5,2,1,2,0,1,1,0,2,0,1
1,99013,Aleutians East Borough,013,02,2000,339,272,6,3,2,1,3,5,4,8,22,42,47,35,38,39,10,3,1,2,1,0,0,0,0,67,3,2,3,3,0,0,1,1,6,9,9,4,11,10,3,1,1,0,0,0,0,0,0
1,99016,Aleutians West Census Area,016,02,2000,573,423,14,15,11,6,13,8,3,10,36,68,83,52,45,33,14,8,3,0,0,1,0,0,0,150,13,6,15,4,2,2,0,12,13,23,25,16,5,8,4,0,2,0,0,0,0,0,0
1,99020,Anchorage Municipality,020,02,2000,14799,7438,927,900,740,420,263,152,147,450,674,638,586,503,393,232,163,48,61,27,37,40,19,12,6,7361,945,823,767,430,234,135,125,380,651,606,593,518,381,270,165,69,69,36,40,46,39,21,18
1,99050,Bethel Census Area,050,02,2000,140,80,10,9,9,5,2,0,0,0,9,3,10,9,8,4,0,0,0,0,1,1,0,0,0,60,13,9,9,2,2,0,0,3,2,5,5,4,6,0,0,0,0,0,0,0,0,0,0
1,99060,Bristol Bay Borough,060,02,2000,7,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,99068,Denali Borough,068,02,2000,47,30,1,3,2,3,0,0,0,1,3,2,1,6,1,2,1,1,2,0,1,0,0,0,0,17,1,0,1,2,1,0,0,1,1,1,3,3,1,0,0,0,1,1,0,0,0,0,0
1,99070,Dillingham Census Area,070,02,2000,111,67,10,9,11,4,3,0,0,1,1,5,6,5,3,2,5,1,0,0,0,0,1,0,0,44,3,5,6,2,3,0,0,2,3,2,4,7,2,4,1,0,0,0,0,0,0,0,0
1,99090,Fairbanks North Star Borough,090,02,2000,3440,1730,235,194,158,76,66,65,62,150,192,143,110,93,57,54,33,3,9,5,8,12,5,0,0,1710,245,198,168,75,64,25,47,120,174,141,135,111,66,53,26,10,17,7,7,9,5,4,3
1,99100,Haines Borough,100,02,2000,33,7,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,26,2,0,7,0,0,0,2,2,2,3,0,5,0,1,1,1,0,0,0,0,0,0,0
1,99110,Juneau City and Borough,110,02,2000,1040,530,62,70,45,23,19,9,13,28,44,41,46,44,32,23,15,6,4,1,0,3,1,1,0,510,57,65,54,36,17,7,6,17,43,42,44,41,28,23,16,4,1,4,2,0,2,1,0
1,99122,Kenai Peninsula Borough,122,02,2000,1087,526,61,68,62,38,24,8,2,9,28,31,54,44,32,24,15,6,7,4,2,4,2,0,1,561,61,56,77,30,20,4,1,20,44,44,50,53,41,21,14,6,3,2,4,5,4,1,0
1,99130,Ketchikan Gateway Borough,130,02,2000,372,173,23,20,16,9,5,0,1,10,19,14,14,15,6,7,5,0,3,0,1,4,0,1,0,199,25,26,20,12,4,3,2,8,14,13,16,14,12,15,4,1,2,2,4,2,0,0,0
1,99150,Kodiak Island Borough,150,02,2000,848,466,51,62,36,22,10,7,3,26,52,46,47,40,27,19,9,1,3,1,2,2,0,0,0,382,53,59,40,18,12,5,5,12,26,40,32,42,11,12,7,1,2,1,1,3,0,0,0
1,99164,Lake and Peninsula Borough,164,02,2000,21,12,1,2,1,1,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,9,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,99170,Matanuska-Susitna Borough,170,02,2000,1485,726,80,95,112,62,31,13,11,26,33,48,59,68,38,22,15,4,2,1,3,1,0,1,1,759,94,101,78,62,26,11,12,25,41,50,70,59,54,32,18,3,3,6,5,4,4,1,0
1,99180,Nome Census Area,180,02,2000,92,55,6,13,4,1,0,1,0,2,2,4,5,6,7,4,0,0,0,0,0,0,0,0,0,37,11,7,1,0,0,1,0,2,3,1,2,4,3,0,1,0,1,0,0,0,0,0,0
1,99185,North Slope Borough,185,02,2000,175,94,9,15,12,3,1,0,1,4,7,3,8,16,5,2,3,2,1,0,0,1,0,1,0,81,12,20,10,6,2,0,0,0,9,5,6,3,4,4,0,0,0,0,0,0,0,0,0
1,99188,Northwest Arctic Borough,188,02,2000,57,33,6,3,4,3,0,0,0,1,1,3,6,3,1,2,0,0,0,0,0,0,0,0,0,24,5,5,3,1,0,0,1,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0
1,99201,Prince of Wales-Outer Ketchikan Census Area,201,02,2000,107,53,9,7,12,1,0,1,0,0,2,0,5,4,2,5,3,0,1,0,0,1,0,0,0,54,3,8,10,4,0,0,0,2,6,2,5,3,2,4,2,1,2,0,0,0,0,0,0
1,99220,Sitka City and Borough,220,02,2000,290,149,22,26,13,7,5,1,4,10,13,7,6,12,8,6,5,1,1,0,1,1,0,0,0,141,19,11,16,10,5,0,3,10,10,10,13,8,11,8,1,2,1,0,0,2,1,0,0
1,99232,Skagway-Hoonah-Angoon Census Area,232,02,2000,97,46,3,4,4,5,2,2,0,1,1,2,4,6,6,3,0,0,2,1,0,0,0,0,0,51,6,10,9,4,4,3,0,1,1,0,4,2,4,0,2,0,0,0,0,0,0,0,1
1,99240,Southeast Fairbanks Census Area,240,02,2000,167,85,17,4,7,8,6,1,2,7,7,4,4,6,6,3,2,1,0,0,0,0,0,0,0,82,12,7,9,8,3,0,0,5,10,4,6,5,4,4,2,0,0,1,1,1,0,0,0
1,99261,Valdez-Cordova Census Area,261,02,2000,286,145,14,17,17,11,2,3,2,3,11,10,10,12,12,4,8,2,1,1,1,2,1,0,1,141,16,17,16,4,5,1,1,7,17,6,12,14,8,6,4,1,4,0,0,1,1,0,0
1,99270,Wade Hampton Census Area,270,02,2000,23,11,2,1,1,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,12,3,3,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,99280,Wrangell-Petersburg Census Area,280,02,2000,132,66,9,7,4,5,2,1,2,2,7,6,6,5,5,2,1,0,1,0,0,1,0,0,0,66,5,5,6,4,3,1,3,2,4,7,7,4,5,4,1,1,3,0,0,0,0,0,1
1,99282,Yakutat City and Borough,282,02,2000,6,5,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,99290,Yukon-Koyukuk Census Area,290,02,2000,78,43,7,9,5,1,1,0,1,3,3,5,2,0,1,3,1,0,0,0,0,1,0,0,0,35,8,5,2,0,1,0,1,1,3,3,2,0,4,3,1,1,0,0,0,0,0,0,0
1,99001,Apache County,001,04,2000,3119,1665,163,149,171,127,57,31,24,76,105,107,115,113,95,71,70,37,38,27,24,34,14,7,10,1454,168,144,180,93,50,10,20,41,67,99,93,101,80,56,65,29,45,14,36,23,17,8,15
1,99003,Cochise County,003,04,2000,36134,17855,1812,1842,1895,1099,724,340,289,795,1246,1104,1220,1196,1002,796,530,207,344,195,266,435,267,158,93,18279,1764,1842,1829,1071,652,329,241,724,1256,1147,1259,1199,1027,810,676,258,370,238,359,472,378,210,168
1,99005,Coconino County,005,04,2000,12727,6567,690,614,648,390,256,174,121,457,618,494,493,411,322,282,160,61,95,48,60,80,50,24,19,6160,663,626,576,363,230,124,135,356,506,416,465,434,327,225,195,62,98,51,84,99,66,37,22
1,99007,Gila County,007,04,2000,8546,4267,440,381,405,234,147,70,51,153,240,238,281,287,274,239,197,65,111,58,83,114,101,56,42,4279,403,357,425,255,148,57,50,129,235,249,256,289,257,227,188,77,100,63,89,148,121,84,72
1,99009,Graham County,009,04,2000,9054,5043,449,417,436,268,220,105,85,251,488,490,390,342,273,182,142,57,81,49,75,114,61,38,30,4011,374,383,421,231,175,104,60,142,225,212,286,270,201,174,147,47,91,54,79,127,95,61,52
1,99011,Greenlee County,011,04,2000,3681,1899,203,190,193,125,58,17,21,53,113,109,126,143,129,113,70,36,23,15,37,47,36,27,15,1782,171,177,163,97,52,20,23,64,128,115,117,117,106,93,70,30,31,30,37,60,36,26,19
1,99012,La Paz County,012,04,2000,4420,2363,239,237,268,163,78,42,29,104,216,175,194,170,118,98,73,20,32,24,25,41,8,5,4,2057,211,233,232,142,71,39,36,77,148,141,151,133,115,99,68,26,36,17,22,33,17,8,2
1,99013,Maricopa County,013,04,2000,763341,401312,49618,44750,36792,21519,17094,9116,9071,28033,44362,37227,30560,22562,16211,11776,7694,2335,2905,1667,2099,2771,1705,878,567,362029,47486,42711,35195,18958,13786,7284,6990,22191,36651,30947,26306,20284,15239,11511,7952,2482,3235,2017,2542,3456,2335,1339,1132
1,99015,Mohave County,015,04,2000,17182,8822,1056,1041,949,469,317,127,139,372,658,695,635,545,440,323,267,119,141,94,108,160,96,46,25,8360,953,993,817,476,238,122,123,365,639,626,633,503,445,327,313,111,137,88,114,161,93,45,38
1,99017,Navajo County,017,04,2000,8011,4218,436,471,443,249,151,82,78,215,343,317,305,266,223,171,120,41,62,37,49,66,48,26,19,3793,455,472,390,210,125,41,51,144,264,249,255,246,196,196,116,49,57,29,60,68,59,33,28
1,99019,Pima County,019,04,2000,247578,121949,13395,13195,12226,6821,4749,2407,2240,6749,10624,9099,9079,7901,6441,5009,3411,1145,1458,897,1252,1721,1157,605,368,125629,12807,12647,11545,6527,4910,2405,2247,6785,10462,9362,9449,8400,6917,5408,4022,1380,1840,1100,1635,2318,1646,1027,790
1,99021,Pinal County,021,04,2000,53671,30413,2776,2825,2637,1612,1136,635,643,1805,3160,2797,2566,2121,1604,1194,830,286,401,239,294,413,235,113,91,23258,2648,2633,2553,1347,871,344,373,1052,1822,1653,1583,1360,1208,939,722,250,353,228,307,436,288,160,128
1,99023,Santa Cruz County,023,04,2000,31005,14576,1520,1679,1731,939,504,205,182,500,883,904,1044,1010,876,680,495,168,259,137,189,292,189,125,65,16429,1498,1632,1653,919,502,222,195,591,1083,1178,1251,1200,1069,772,589,238,316,171,262,429,311,199,149
1,99025,Yavapai County,025,04,2000,16376,8665,959,893,798,495,362,182,148,477,757,681,618,503,423,347,276,79,133,78,111,163,93,61,28,7711,864,825,749,453,276,137,123,388,626,569,502,455,383,292,265,100,130,89,101,144,126,61,53
1,99027,Yuma County,027,04,2000,80772,40153,4634,4941,4514,2494,1565,787,741,1952,2949,3040,3036,2533,1980,1424,892,343,483,280,411,533,359,178,84,40619,4424,4627,4491,2466,1577,676,609,1804,3089,3184,3218,2810,2150,1549,1135,387,501,274,438,556,347,161,146
1,99001,Arkansas County,001,05,2000,157,106,9,3,2,7,4,3,5,14,10,12,8,3,5,10,4,0,1,0,2,0,3,1,0,51,5,4,4,4,2,1,1,2,1,3,5,5,1,2,2,0,1,3,1,0,1,2,1
