GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimates (as of July 1) - 2010,Population Estimates (as of July 1) - 2011
0500000US06115,06115,"Yuba County, California",72155,72155,72364,72578
0500000US08001,08001,"Adams County, Colorado",441603,441603,443673,451443
0500000US08003,08003,"Alamosa County, Colorado",15445,15445,15496,15710
0500000US08005,08005,"Arapahoe County, Colorado",572003,572153,574929,584948
0500000US08007,08007,"Archuleta County, Colorado",12084,12084,12068,12013
0500000US08009,08009,"Baca County, Colorado",3788,3788,3802,3795
0500000US08011,08011,"Bent County, Colorado",6499,6499,6467,6250
0500000US08013,08013,"Boulder County, Colorado",294567,294567,295169,299378
0500000US08014,08014,"Broomfield County, Colorado",55889,55889,56113,57352
0500000US08015,08015,"Chaffee County, Colorado",17809,17809,17800,17932
0500000US08017,08017,"Cheyenne County, Colorado",1836,1836,1835,1876
0500000US08019,08019,"Clear Creek County, Colorado",9088,9088,9119,9012
0500000US08021,08021,"Conejos County, Colorado",8256,8256,8291,8291
0500000US08023,08023,"Costilla County, Colorado",3524,3524,3536,3662
0500000US08025,08025,"Crowley County, Colorado",5823,5823,5833,5736
0500000US08027,08027,"Custer County, Colorado",4255,4255,4276,4205
0500000US08029,08029,"Delta County, Colorado",30952,30952,30889,30451
0500000US08031,08031,"Denver County, Colorado",600158,600008,603440,619968
0500000US08033,08033,"Dolores County, Colorado",2064,2064,2063,2056
0500000US08035,08035,"Douglas County, Colorado",285465,285465,286984,292167
0500000US08037,08037,"Eagle County, Colorado",52197,52197,52064,51854
0500000US08039,08039,"Elbert County, Colorado",23086,23086,23119,23174
0500000US08041,08041,"El Paso County, Colorado",622263,622263,627159,636963
0500000US08043,08043,"Fremont County, Colorado",46824,46824,46857,47347
0500000US08045,08045,"Garfield County, Colorado",56389,56389,56139,56270
0500000US08047,08047,"Gilpin County, Colorado",5441,5441,5467,5467
0500000US08049,08049,"Grand County, Colorado",14843,14843,14791,14548
0500000US08051,08051,"Gunnison County, Colorado",15324,15324,15314,15408
0500000US08053,08053,"Hinsdale County, Colorado",843,843,842,830
0500000US08055,08055,"Huerfano County, Colorado",6711,6711,6672,6520
0500000US08057,08057,"Jackson County, Colorado",1394,1394,1390,1370
0500000US08059,08059,"Jefferson County, Colorado",534543,534543,535455,539884
0500000US08061,08061,"Kiowa County, Colorado",1398,1398,1403,1433
0500000US08063,08063,"Kit Carson County, Colorado",8270,8270,8247,8142
0500000US08065,08065,"Lake County, Colorado",7310,7310,7290,7427
0500000US08067,08067,"La Plata County, Colorado",51334,51334,51442,51917
0500000US08069,08069,"Larimer County, Colorado",299630,299630,300552,305525
0500000US08071,08071,"Las Animas County, Colorado",15507,15507,15428,15037
0500000US08073,08073,"Lincoln County, Colorado",5467,5467,5479,5454
0500000US08075,08075,"Logan County, Colorado",22709,22709,22723,22619
0500000US08077,08077,"Mesa County, Colorado",146723,146723,146307,147083
0500000US08079,08079,"Mineral County, Colorado",712,712,706,708
0500000US08081,08081,"Moffat County, Colorado",13795,13795,13819,13451
0500000US08083,08083,"Montezuma County, Colorado",25535,25535,25530,25442
0500000US08085,08085,"Montrose County, Colorado",41276,41276,41184,41011
0500000US08087,08087,"Morgan County, Colorado",28159,28159,27996,28175
0500000US08089,08089,"Otero County, Colorado",18831,18831,18858,18865
0500000US08091,08091,"Ouray County, Colorado",4436,4436,4451,4356
0500000US08093,08093,"Park County, Colorado",16206,16206,16270,16089
0500000US08095,08095,"Phillips County, Colorado",4442,4442,4468,4399
0500000US08097,08097,"Pitkin County, Colorado",17148,17148,17166,17102
0500000US08099,08099,"Prowers County, Colorado",12551,12551,12535,12549
0500000US08101,08101,"Pueblo County, Colorado",159063,159063,159470,160545
0500000US08103,08103,"Rio Blanco County, Colorado",6666,6666,6625,6782
0500000US08105,08105,"Rio Grande County, Colorado",11982,11982,12023,11956
0500000US08107,08107,"Routt County, Colorado",23509,23509,23451,23239
0500000US08109,08109,"Saguache County, Colorado",6108,6108,6138,6228
0500000US08111,08111,"San Juan County, Colorado",699,699,709,692
0500000US08113,08113,"San Miguel County, Colorado",7359,7359,7360,7490
0500000US08115,08115,"Sedgwick County, Colorado",2379,2379,2373,2364
0500000US08117,08117,"Summit County, Colorado",27994,27994,28082,27972
0500000US08119,08119,"Teller County, Colorado",23350,23350,23450,23356
0500000US08121,08121,"Washington County, Colorado",4814,4814,4817,4770
0500000US08123,08123,"Weld County, Colorado",252825,252825,254241,258638
0500000US08125,08125,"Yuma County, Colorado",10043,10043,10047,10100
0500000US09001,09001,"Fairfield County, Connecticut",916829,916829,918339,925899
0500000US09003,09003,"Hartford County, Connecticut",894014,894014,894127,894705
0500000US09005,09005,"Litchfield County, Connecticut",189927,189927,189751,188789
0500000US09007,09007,"Middlesex County, Connecticut",165676,165676,165630,166043
0500000US09009,09009,"New Haven County, Connecticut",862477,862477,862438,861113
0500000US09011,09011,"New London County, Connecticut",274055,274055,274018,273502
0500000US09013,09013,"Tolland County, Connecticut",152691,152691,152734,152507
0500000US09015,09015,"Windham County, Connecticut",118428,118428,118461,118151
0500000US10001,10001,"Kent County, Delaware",162310,162310,162873,164834
0500000US10003,10003,"New Castle County, Delaware",538479,538479,539007,541971
0500000US10005,10005,"Sussex County, Delaware",197145,197145,197912,200330
0500000US11001,11001,"District of Columbia, District of Columbia",601723,601723,604912,617996
0500000US12001,12001,"Alachua County, Florida",247336,247336,247418,249365
0500000US12003,12003,"Baker County, Florida",27115,27115,27099,27154
0500000US12005,12005,"Bay County, Florida",168852,168852,169295,169856
0500000US12007,12007,"Bradford County, Florida",28520,28520,28483,28255
0500000US12009,12009,"Brevard County, Florida",543376,543372,543828,543566
0500000US12011,12011,"Broward County, Florida",1748066,1748066,1752122,1780172
0500000US12013,12013,"Calhoun County, Florida",14625,14625,14633,14750
0500000US12015,12015,"Charlotte County, Florida",159978,159978,160124,160511
0500000US12017,12017,"Citrus County, Florida",141236,141234,141277,140031
0500000US12019,12019,"Clay County, Florida",190865,190865,191436,192370
0500000US12021,12021,"Collier County, Florida",321520,321520,322739,328134
0500000US12023,12023,"Columbia County, Florida",67531,67532,67617,67485
0500000US12027,12027,"DeSoto County, Florida",34862,34862,34950,34894
0500000US12029,12029,"Dixie County, Florida",16422,16422,16401,16486
0500000US12031,12031,"Duval County, Florida",864263,864263,865420,870709
0500000US12033,12033,"Escambia County, Florida",297619,297619,297964,299114
0500000US12035,12035,"Flagler County, Florida",95696,95696,96019,97376
0500000US12037,12037,"Franklin County, Florida",11549,11549,11568,11596
