Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispan_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispan_Males_All,Age1524_HispanM,Age1524_HispanF,Hispan_Females_All,Pct_WYM,Pct_WYF
1,99169,"Trousdale County, Tennessee",169,47,2000,7259.0,6284.0,824.0,110.0,387.0,3087.0,386.0,3197.0,65.0,403.0,48.0,421.0,63.0,17.0,7.0,47.0,0.12536443148688048,0.12073819205505161
1,99171,"Unicoi County, Tennessee",171,47,2000,17667.0,17307.0,12.0,342.0,984.0,8423.0,917.0,8884.0,2.0,9.0,0.0,3.0,202.0,48.0,26.0,140.0,0.11682298468479164,0.10321927059882936
1,99173,"Union County, Tennessee",173,47,2000,17808.0,17534.0,18.0,140.0,1187.0,8709.0,1124.0,8825.0,3.0,13.0,0.0,5.0,69.0,17.0,20.0,71.0,0.13629578596853828,0.1273654390934844
1,99175,"Van Buren County, Tennessee",175,47,2000,5508.0,5454.0,7.0,18.0,375.0,2717.0,344.0,2737.0,1.0,4.0,0.0,3.0,12.0,1.0,0.0,6.0,0.1380198748619801,0.12568505663134819
1,99177,"Warren County, Tennessee",177,47,2000,38276.0,35083.0,1211.0,1885.0,2190.0,16918.0,2241.0,18165.0,80.0,579.0,86.0,632.0,1324.0,373.0,107.0,561.0,0.12944792528667692,0.12336911643270025
1,99179,"Washington County, Tennessee",179,47,2000,107198.0,100466.0,4091.0,1482.0,6921.0,48728.0,7162.0,51738.0,458.0,2090.0,375.0,2001.0,813.0,193.0,138.0,669.0,0.14203332786077819,0.13842823456646952
1,99181,"Wayne County, Tennessee",181,47,2000,16842.0,15482.0,1145.0,142.0,1068.0,8028.0,894.0,7454.0,197.0,1091.0,8.0,54.0,85.0,13.0,13.0,57.0,0.13303437967115098,0.11993560504427153
1,99183,"Weakley County, Tennessee",183,47,2000,34895.0,31501.0,2424.0,402.0,2857.0,15315.0,2970.0,16186.0,353.0,1099.0,474.0,1325.0,224.0,53.0,33.0,178.0,0.18654913483512897,0.18349190658593847
1,99185,"White County, Tennessee",185,47,2000,23102.0,22323.0,378.0,239.0,1397.0,10918.0,1305.0,11405.0,16.0,193.0,15.0,185.0,133.0,26.0,12.0,106.0,0.1279538376992123,0.11442349846558526
1,99187,"Williamson County, Tennessee",187,47,2000,126638.0,115941.0,6564.0,3197.0,6490.0,57092.0,6090.0,58849.0,503.0,3121.0,457.0,3443.0,1798.0,423.0,246.0,1399.0,0.11367617179289567,0.10348519091233496
1,99189,"Wilson County, Tennessee",189,47,2000,88809.0,81261.0,5563.0,1127.0,4969.0,40137.0,4607.0,41124.0,438.0,2694.0,356.0,2869.0,601.0,126.0,73.0,526.0,0.12380098163789023,0.11202704017118957
1,99001,"Anderson County, Texas",1,48,2000,55109.0,36617.0,12941.0,6705.0,2477.0,19968.0,2030.0,16649.0,1196.0,9356.0,522.0,3585.0,4999.0,847.0,335.0,1706.0,0.12404847756410256,0.12192924499969968
1,99003,"Andrews County, Texas",3,48,2000,13004.0,10024.0,214.0,5202.0,698.0,4851.0,681.0,5173.0,14.0,108.0,21.0,106.0,2601.0,467.0,483.0,2601.0,0.14388785817357247,0.13164508022424126
