Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
1,99069,Houston County,69,1,2010,101547.0,71053.0,26176.0,2995.0,3946.0,34497.0,3990.0,36556.0,1970.0,12046.0,2152.0,14130.0,1624.0,286.0,207.0,1371.0,0.11438675826883497,0.10914760914760915
1,99071,Jackson County,71,1,2010,53227.0,48348.0,1781.0,1339.0,2834.0,23711.0,2705.0,24637.0,129.0,860.0,124.0,921.0,737.0,153.0,83.0,602.0,0.11952258445447261,0.1097942119576247
1,99073,Jefferson County,73,1,2010,658466.0,349166.0,276525.0,25488.0,20938.0,168511.0,21438.0,180655.0,20803.0,125852.0,22252.0,150673.0,14659.0,3028.0,1913.0,10829.0,0.1242530161235765,0.1186681796794996
1,99075,Lamar County,75,1,2010,14564.0,12626.0,1643.0,180.0,645.0,6190.0,646.0,6436.0,131.0,748.0,119.0,895.0,107.0,23.0,16.0,73.0,0.10420032310177706,0.10037290242386576
1,99077,Lauderdale County,77,1,2010,92709.0,80112.0,9257.0,2082.0,5620.0,38444.0,5575.0,41668.0,911.0,4219.0,964.0,5038.0,1105.0,219.0,195.0,977.0,0.14618666111746956,0.1337957185370068
1,99079,Lawrence County,79,1,2010,34339.0,26647.0,3938.0,574.0,1643.0,13085.0,1618.0,13562.0,287.0,1852.0,274.0,2086.0,297.0,42.0,58.0,277.0,0.12556362246847536,0.11930393747234921
1,99081,Lee County,81,1,2010,140247.0,100006.0,31901.0,4571.0,13278.0,49851.0,12880.0,50155.0,3042.0,14763.0,3155.0,17138.0,2602.0,693.0,488.0,1969.0,0.2663537341277005,0.2568039078855548
1,99083,Limestone County,83,1,2010,82782.0,66506.0,10429.0,4591.0,3927.0,33305.0,3787.0,33201.0,738.0,5513.0,628.0,4916.0,2529.0,479.0,377.0,2062.0,0.11791022369013662,0.11406282943284841
1,99085,Lowndes County,85,1,2010,11299.0,2859.0,8310.0,87.0,140.0,1445.0,110.0,1414.0,614.0,3783.0,678.0,4527.0,41.0,7.0,9.0,46.0,0.09688581314878893,0.07779349363507779
1,99087,Macon County,87,1,2010,21452.0,3319.0,17729.0,232.0,195.0,1673.0,177.0,1646.0,1887.0,7962.0,2390.0,9767.0,129.0,44.0,33.0,103.0,0.11655708308427974,0.10753341433778858
1,99089,Madison County,89,1,2010,334811.0,228280.0,80376.0,15404.0,14694.0,113424.0,13050.0,114856.0,8174.0,37656.0,8802.0,42720.0,8556.0,1845.0,1296.0,6848.0,0.12954930173508253,0.11362053353764714
1,99091,Marengo County,91,1,2010,21027.0,9751.0,10872.0,352.0,510.0,4754.0,506.0,4997.0,881.0,4963.0,848.0,5909.0,173.0,31.0,23.0,179.0,0.1072780816154817,0.10126075645387232
1,99093,Marion County,93,1,2010,30776.0,28791.0,1184.0,632.0,1636.0,14159.0,1662.0,14632.0,69.0,723.0,64.0,461.0,344.0,33.0,44.0,288.0,0.11554488311321422,0.11358665937670859
1,99095,Marshall County,95,1,2010,93019.0,81464.0,1494.0,11238.0,5141.0,39563.0,4913.0,41901.0,168.0,785.0,125.0,709.0,6204.0,1243.0,860.0,5034.0,0.12994464524934915,0.11725257153767213
1,99097,Mobile County,97,1,2010,412992.0,248647.0,142992.0,9936.0,16270.0,121611.0,16275.0,127036.0,11333.0,65758.0,12230.0,77234.0,5508.0,1059.0,741.0,4428.0,0.13378723964115088,0.12811329072074057
1,99099,Monroe County,99,1,2010,23068.0,12718.0,9614.0,220.0,750.0,6235.0,646.0,6483.0,789.0,4521.0,706.0,5093.0,111.0,18.0,10.0,109.0,0.12028869286287089,0.09964522597562857
1,99101,Montgomery County,101,1,2010,229363.0,90656.0,125477.0,8314.0,5378.0,44326.0,4954.0,46330.0,11160.0,58022.0,11980.0,67455.0,4720.0,1030.0,690.0,3594.0,0.12132834002616974,0.10692855601122384
1,99103,Morgan County,103,1,2010,119490.0,95404.0,14185.0,9156.0,5666.0,46848.0,5405.0,48556.0,1151.0,6765.0,1149.0,7420.0,5152.0,958.0,692.0,4004.0,0.1209443306010929,0.11131477057418239
1,99105,Perry County,105,1,2010,10591.0,3204.0,7276.0,114.0,329.0,1586.0,328.0,1618.0,586.0,3331.0,598.0,3945.0,59.0,30.0,12.0,55.0,0.20744010088272383,0.2027194066749073
1,99107,Pickens County,107,1,2010,19746.0,11110.0,8211.0,313.0,586.0,5478.0,589.0,5632.0,628.0,3708.0,640.0,4503.0,191.0,44.0,19.0,122.0,0.10697334793720335,0.10458096590909091
1,99109,Pike County,109,1,2010,32899.0,19144.0,12054.0,730.0,2244.0,9338.0,2341.0,9806.0,1379.0,5435.0,1597.0,6619.0,403.0,105.0,71.0,327.0,0.24030841721996143,0.23873138894554355
1,99111,Randolph County,111,1,2010,22913.0,17532.0,4607.0,649.0,992.0,8554.0,1046.0,8978.0,367.0,2146.0,379.0,2461.0,360.0,83.0,43.0,289.0,0.11596913724573299,0.11650701715304077
1,99113,Russell County,113,1,2010,52947.0,28449.0,22135.0,1946.0,1795.0,13918.0,1913.0,14531.0,1674.0,10204.0,1809.0,11931.0,1034.0,166.0,150.0,912.0,0.12896967955165972,0.1316495767669121
1,99115,St. Clair County,115,1,2010,83593.0,73741.0,7150.0,1716.0,4487.0,36559.0,4103.0,37182.0,537.0,3941.0,434.0,3209.0,922.0,145.0,113.0,794.0,0.12273311633250363,0.11034909364746383
1,99117,Shelby County,117,1,2010,195085.0,161943.0,20732.0,11567.0,9299.0,79308.0,9113.0,82635.0,1454.0,9741.0,1572.0,10991.0,6393.0,1160.0,794.0,5174.0,0.11725172744237655,0.11028014763719973
1,99119,Sumter County,119,1,2010,13763.0,3326.0,10316.0,86.0,335.0,1564.0,400.0,1762.0,966.0,4645.0,988.0,5671.0,52.0,14.0,11.0,34.0,0.21419437340153452,0.22701475595913734
